"plant_id","plant_name","operator_name","operator_id","plant_state","aer_fuel_type_code","net_gen_kwh"
"1379","Shawnee","Tennessee Valley Authority","18642","KY","COL",0E-20
"1379","Shawnee","Tennessee Valley Authority","18642","KY","DFO",10.1290000000000000
"1379","Shawnee","Tennessee Valley Authority","18642","KY","COL",3649.4140000000000000
"1670","High Street Station","Town of Ipswich - (MA)","9442","MA","DFO",0.01900000000000000000
"1670","High Street Station","Town of Ipswich - (MA)","9442","MA","NG",0.22800000000000000000
"1693","Alcona","Consumers Energy Co","4254","MI","HYC",33.3390000000000000
"1694","Allegan Dam","Consumers Energy Co","4254","MI","HYC",11.2500000000000000
"1698","C W Tippy","Consumers Energy Co","4254","MI","HYC",66.9520000000000000
"1700","Cooke","Consumers Energy Co","4254","MI","HYC",30.7870000000000000
"1701","Croton","Consumers Energy Co","4254","MI","HYC",26.3680000000000000
"1702","Dan E Karn","Consumers Energy Co","4254","MI","COL",2.2170000000000000
"1702","Dan E Karn","Consumers Energy Co","4254","MI","DFO",5.3010000000000000
"1702","Dan E Karn","Consumers Energy Co","4254","MI","NG",74.1730000000000000
"1702","Dan E Karn","Consumers Energy Co","4254","MI","RFO",8.9250000000000000
"1702","Dan E Karn","Consumers Energy Co","4254","MI","COL",1563.7360000000000000
"1704","Five Channels","Consumers Energy Co","4254","MI","HYC",23.1770000000000000
"1705","Foote","Consumers Energy Co","4254","MI","HYC",35.2760000000000000
"1707","Hardy","Consumers Energy Co","4254","MI","HYC",115.4950000000000000
"1708","Hodenpyl","Consumers Energy Co","4254","MI","HYC",54.5870000000000000
"1710","J H Campbell","Consumers Energy Co","4254","MI","DFO",0E-20
"1710","J H Campbell","Consumers Energy Co","4254","MI","COL",75.8190000000000000
"1710","J H Campbell","Consumers Energy Co","4254","MI","DFO",17.2390000000000000
"1943","Hoot Lake","Otter Tail Power Co","14232","MN","DFO",0E-20
"1710","J H Campbell","Consumers Energy Co","4254","MI","COL",6674.5640000000000000
"1712","Loud","Consumers Energy Co","4254","MI","HYC",19.9460000000000000
"1713","Ludington","Consumers Energy Co","4254","MI","HPS",-845.4800000000000000
"1714","Mio","Consumers Energy Co","4254","MI","HYC",18.1710000000000000
"1716","Rogers","Consumers Energy Co","4254","MI","HYC",31.6250000000000000
"1722","Webber","Consumers Energy Co","4254","MI","HYC",15.1500000000000000
"1725","Colfax","DTE Electric Company","5109","MI","DFO",0.09600000000000000000
"1728","Delray","DTE Electric Company","5109","MI","NG",34.7460000000000000
"1729","Fermi","DTE Electric Company","5109","MI","DFO",-0.41000000000000000000
"1729","Fermi","DTE Electric Company","5109","MI","NUC",6070.7780000000000000
