City,State,Wind Speed,Date
CHEYENNE,WY,13.6,2/1/2022
LANDER,WY,5.2,2/1/2022
SHERIDAN,WY,7.1,2/1/2022
GUAM,PC,12,2/1/2022
KOROR,PC,7,2/1/2022
SAN JUAN,PR,8.2,2/1/2022
BIRMINGHAM,AL,7.6,3/1/2022
HUNTSVILLE,AL,8.9,3/1/2022
MOBILE,AL,8.9,3/1/2022
MONTGOMERY,AL,7.2,3/1/2022
ANCHORAGE,AK,7,3/1/2022
ANNETTE,AK,8.7,3/1/2022
BARROW,AK,11.8,3/1/2022
BETHEL,AK,12.8,3/1/2022
BETTLES,AK,5.7,3/1/2022
BIG DELTA,AK,9.7,3/1/2022
COLD BAY,AK,16.4,3/1/2022
FAIRBANKS,AK,4.6,3/1/2022
GULKANA,AK,5.7,3/1/2022
HOMER,AK,7.2,3/1/2022
JUNEAU,AK,7.7,3/1/2022
KING SALMON,AK,10.2,3/1/2022
KODIAK,AK,12.2,3/1/2022
KOTZEBUE,AK,10.7,3/1/2022
MCGRATH,AK,4.9,3/1/2022
NOME,AK,8.7,3/1/2022
TALKEETNA,AK,5.2,3/1/2022
VALDEZ,AK,6.8,3/1/2022
YAKUTAT,AK,5.9,3/1/2022
FLAGSTAFF,AZ,6.8,3/1/2022
PHOENIX,AZ,6.3,3/1/2022
TUCSON,AZ,7.8,3/1/2022
WINSLOW,AZ,8.8,3/1/2022
FORT SMITH,AR,8.6,3/1/2022
LITTLE ROCK,AR,8.6,3/1/2022
BAKERSFIELD,CA,6.2,3/1/2022
BISHOP,CA,9.3,3/1/2022
BLUE CANYON,CA,6.3,3/1/2022
FRESNO,CA,5.9,3/1/2022
LONG BEACH,CA,5.9,3/1/2022
LOS ANGELES,CA,2.1,3/1/2022
REDDING,CA,6.9,3/1/2022
SACRAMENTO,CA,6.6,3/1/2022
SAN DIEGO,CA,6.6,3/1/2022
SAN FRANCISCO,CA,10.4,3/1/2022
SANTA BARBARA,CA,6.2,3/1/2022
SANTA MARIA,CA,8.1,3/1/2022
STOCKTON,CA,7.8,3/1/2022
ALAMOSA,CO,8.7,3/1/2022
COLORADO SPRINGS,CO,10.5,3/1/2022
DENVER,CO,8.9,3/1/2022
GRAND JUNCTION,CO,7.9,3/1/2022
PUEBLO,CO,9.2,3/1/2022
BRIDGEPORT,CT,10.8,3/1/2022
HARTFORD,CT,9.4,3/1/2022
WILMINGTON,DE,10.3,3/1/2022
WASHINGTON DULLES,DC,8.5,3/1/2022
DAYTONA BEACH,FL,8,3/1/2022
FORT MYERS,FL,8.2,3/1/2022
GAINESVILLE,FL,7.1,3/1/2022
JACKSONVILLE,FL,7.8,3/1/2022
KEY WEST,FL,11,3/1/2022
MIAMI,FL,9.7,3/1/2022
ORLANDO,FL,9,3/1/2022
PENSACOLA,FL,9.2,3/1/2022
TALLAHASSEE,FL,6.4,3/1/2022
TAMPA,FL,7.9,3/1/2022
VERO BEACH,FL,9.5,3/1/2022
WEST PALM BEACH,FL,11,3/1/2022
ATHENS,GA,7.2,3/1/2022
ATLANTA,GA,9.5,3/1/2022
AUGUSTA,GA,6.8,3/1/2022
COLUMBUS,GA,7,3/1/2022
MACON,GA,7,3/1/2022
SAVANNAH,GA,8.2,3/1/2022
HILO,HI,7.2,3/1/2022
HONOLULU,HI,10.1,3/1/2022
KAHULUI,HI,12.2,3/1/2022
LIHUE,HI,13.4,3/1/2022
BOISE,ID,8.7,3/1/2022
LEWISTON,ID,6.2,3/1/2022
POCATELLO,ID,10.7,3/1/2022
CHICAGO,IL,11.1,3/1/2022
MOLINE,IL,10.2,3/1/2022
PEORIA,IL,9.9,3/1/2022
ROCKFORD,IL,10.7,3/1/2022
SPRINGFIELD,IL,11.3,3/1/2022
EVANSVILLE,IN,8.3,3/1/2022
FORT WAYNE,IN,10.6,3/1/2022
INDIANAPOLIS,IN,11.1,3/1/2022
SOUTH BEND,IN,10.4,3/1/2022
DES MOINES,IA,11.1,3/1/2022
DUBUQUE,IA,11.8,3/1/2022
SIOUX CITY,IA,11.7,3/1/2022
WATERLOO,IA,11.3,3/1/2022
CONCORDIA,KS,12.4,3/1/2022
DODGE CITY,KS,14.3,3/1/2022
GOODLAND,KS,13.3,3/1/2022
TOPEKA,KS,9.7,3/1/2022
WICHITA,KS,12.9,3/1/2022
JACKSON,KY,6.3,3/1/2022
LEXINGTON,KY,9.4,3/1/2022
LOUISVILLE,KY,9.1,3/1/2022
PADUCAH,KY,8.8,3/1/2022
BATON ROUGE,LA,7.6,3/1/2022
LAKE CHARLES,LA,8.9,3/1/2022
NEW ORLEANS,LA,9.2,3/1/2022
SHREVEPORT,LA,8.7,3/1/2022
CARIBOU,ME,9.1,3/1/2022
PORTLAND,ME,9.3,3/1/2022
BALTIMORE,MD,8.8,3/1/2022
BOSTON,MA,12.8,3/1/2022
WORCESTER,MA,11.4,3/1/2022
ALPENA,MI,8.4,3/1/2022
DETROIT,MI,10.4,3/1/2022
FLINT,MI,10.2,3/1/2022
GRAND RAPIDS,MI,10.5,3/1/2022
HOUGHTON LAKE,MI,8.5,3/1/2022
LANSING,MI,10.1,3/1/2022
MUSKEGON,MI,10.6,3/1/2022
DULUTH,MN,10.5,3/1/2022
INTERNATIONAL FALLS,MN,8.3,3/1/2022
ROCHESTER,MN,13.3,3/1/2022
SAINT CLOUD,MN,9,3/1/2022
JACKSON,MS,7.6,3/1/2022
MERIDIAN,MS,7.3,3/1/2022
TUPELO,MS,8,3/1/2022
COLUMBIA,MO,11.2,3/1/2022
KANSAS CITY,MO,11.9,3/1/2022
SPRINGFIELD,MO,11,3/1/2022
BILLINGS,MT,10.8,3/1/2022
GLASGOW,MT,11.1,3/1/2022
GREAT FALLS,MT,11.8,3/1/2022
HAVRE,MT,9.8,3/1/2022
HELENA,MT,7.4,3/1/2022
KALISPELL,MT,6,3/1/2022
MISSOULA,MT,5.8,3/1/2022
GRAND ISLAND,NE,12.6,3/1/2022
LINCOLN,NE,11.1,3/1/2022
NORFOLK,NE,12,3/1/2022
NORTH PLATTE,NE,10.4,3/1/2022
OMAHA,NE,11.4,3/1/2022
SCOTTSBLUFF,NE,11,3/1/2022
VALENTINE,NE,10.4,3/1/2022
ELKO,NV,6.3,3/1/2022
ELY,NV,9.9,3/1/2022
LAS VEGAS,NV,9.3,3/1/2022
RENO,NV,7.5,3/1/2022
WINNEMUCCA,NV,8.3,3/1/2022
CONCORD,NH,7.4,3/1/2022
ATLANTIC CITY,NJ,10.6,3/1/2022
NEWARK,NJ,11.2,3/1/2022
ALBUQUERQUE,NM,9,3/1/2022
CLAYTON,NM,13,3/1/2022
ROSWELL,NM,9.6,3/1/2022
ALBANY,NY,9.6,3/1/2022
BINGHAMTON,NY,10,3/1/2022
BUFFALO,NY,11.1,3/1/2022
ISLIP,NY,10.7,3/1/2022
NEW YORK JFK AP,NY,12.9,3/1/2022
ROCHESTER,NY,10.2,3/1/2022
